Status,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,ninteen,twenty,twenty-one,twenty-two,twenty-three,twenty-four,
EV1,Nothing,Nothing,Charge,Nothing,Nothing,Delivery,Charge,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Nothing,Nothing,Delivery,Nothing,Nothing,Nothing,Charge,Delivery,
EV2,Nothing,Nothing,Nothing,Nothing,Charge,Nothing,Delivery,Charge,Delivery,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Delivery,Charge,Delivery,Discharge,Nothing,Nothing,Nothing,Charge,
EV3,Nothing,Nothing,Nothing,Nothing,Charge,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Delivery,Charge,Delivery,Discharge,Nothing,Nothing,Charge,
EV4,Charge,Delivery,Nothing,Charge,Nothing,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Nothing,Charge,Delivery,Charge,Nothing,Delivery,Discharge,Nothing,Nothing,Charge,
EV5,Nothing,Nothing,Nothing,Nothing,Charge,Nothing,Delivery,Charge,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Nothing,Delivery,Charge,Discharge,Nothing,Delivery,Nothing,Nothing,Charge,
EV6,Nothing,Nothing,Charge,Delivery,Charge,Nothing,Nothing,Delivery,Nothing,Delivery,Charge,Nothing,Nothing,Nothing,Delivery,Charge,Delivery,Nothing,Discharge,Nothing,Charge,Delivery,Nothing,Nothing,
EV7,Charge,Discharge,Nothing,Nothing,Charge,Nothing,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Discharge,Nothing,Nothing,Charge,Delivery,Nothing,
EV8,Nothing,Nothing,Charge,Nothing,Nothing,Nothing,Nothing,Delivery,Charge,Delivery,Nothing,Delivery,Charge,Nothing,Nothing,Delivery,Charge,Delivery,Delivery,Nothing,Nothing,Nothing,Nothing,Charge,
EV9,Nothing,Nothing,Charge,Nothing,Nothing,Nothing,Nothing,Delivery,Nothing,Charge,Nothing,Nothing,Nothing,Delivery,Nothing,Nothing,Delivery,Charge,Nothing,Delivery,Discharge,Nothing,Nothing,Charge,
EV10,Nothing,Nothing,Charge,Delivery,Charge,Nothing,Nothing,Nothing,Delivery,Nothing,Delivery,Charge,Nothing,Delivery,Charge,Delivery,Delivery,Charge,Delivery,Charge,Delivery,Nothing,Nothing,Nothing,
EV11,Charge,Nothing,Delivery,Charge,Nothing,Nothing,Nothing,Nothing,Delivery,Nothing,Nothing,Nothing,Nothing,Nothing,Delivery,Nothing,Charge,Delivery,Discharge,Nothing,Charge,Delivery,Nothing,Charge,
EV12,Charge,Nothing,Delivery,Nothing,Nothing,Charge,Nothing,Nothing,Delivery,Nothing,Discharge,Charge,Nothing,Nothing,Nothing,Delivery,Charge,Delivery,Nothing,Delivery,Nothing,Charge,Delivery,Nothing,

SOC,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,ninteen,twenty,twenty-one,twenty-two,twenty-three,twenty-four,
EV1,40,40,68.5,68.5,68.5,48.5,77,57,57,57,37,65.5,65.5,45.5,74,54,54,54,34,34,34,34,62.5,42.5,
EV2,40,40,40,40,68.5,68.5,48.5,77,57,57,37,65.5,65.5,45.5,74,54,34,62.5,42.5,21.44736842,21.44736842,21.44736842,21.44736842,49.94736842,
EV3,40,40,40,40,68.5,48.5,77,77,57,57,57,37,65.5,65.5,45.5,74,54,34,62.5,42.5,21.44736842,21.44736842,21.44736842,49.94736842,
EV4,68.5,48.5,48.5,77,77,77,57,57,57,37,65.5,65.5,45.5,45.5,74,52.94736842,32.94736842,61.44736842,61.44736842,41.44736842,20.39473684,20.39473684,20.39473684,48.89473684,
EV5,40,40,40,40,68.5,68.5,48.5,77,77,57,57,57,37,65.5,65.5,65.5,45.5,74,52.94736842,52.94736842,32.94736842,32.94736842,32.94736842,61.44736842,
EV6,40,40,68.5,48.5,77,77,77,57,57,37,65.5,65.5,65.5,65.5,45.5,74,54,54,32.94736842,32.94736842,61.44736842,41.44736842,41.44736842,41.44736842,
EV7,68.5,47.44736842,47.44736842,47.44736842,75.94736842,75.94736842,75.94736842,55.94736842,55.94736842,55.94736842,35.94736842,64.44736842,64.44736842,64.44736842,44.44736842,72.94736842,72.94736842,52.94736842,31.89473684,31.89473684,31.89473684,60.39473684,40.39473684,40.39473684,
EV8,40,40,68.5,68.5,68.5,68.5,68.5,48.5,77,57,57,37,65.5,65.5,65.5,45.5,74,54,34,34,34,34,34,62.5,
EV9,40,40,68.5,68.5,68.5,68.5,68.5,48.5,48.5,77,77,77,77,57,57,57,37,65.5,65.5,45.5,24.44736842,24.44736842,24.44736842,52.94736842,
EV10,40,40,68.5,48.5,77,77,77,77,57,57,37,65.5,65.5,45.5,74,54,34,62.5,42.5,71,51,51,51,51,
EV11,68.5,68.5,48.5,77,77,77,77,77,57,57,57,57,57,57,37,37,65.5,45.5,24.44736842,24.44736842,52.94736842,32.94736842,32.94736842,61.44736842,
EV12,68.5,68.5,48.5,48.5,48.5,77,77,77,57,57,35.94736842,64.44736842,64.44736842,64.44736842,64.44736842,44.44736842,72.94736842,52.94736842,52.94736842,32.94736842,32.94736842,61.44736842,41.44736842,41.44736842,
